2017-18 Class Size by Gender and Selected Population ,,,,,,,,,
School Name,School Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Marlborough - 1 LT Charles W. Whitcomb School,01700045,     802,  22.6,"      1,397",  48.1,  51.9,  18.8,  18.2,37.4
Marlborough - Charles Jaworek School,01700030,     252,  22.8,        821,  47.0,  53.0,  34.2,  13.4,35
Marlborough - Early Childhood Center,01700006,      17,  14.3,        210,  39.5,  60.5,  19.5,  46.7,28.1
Marlborough - Francis J Kane,01700008,     196,  23.3,        650,  49.2,  50.8,  27.8,  15.8,33.5
Marlborough - Marlborough High,01700505,     635,  14.2,"      1,151",  49.3,  50.7,  16.7,  15.4,29
Marlborough - Richer,01700025,     196,  22.9,        641,  49.5,  50.5,  41.0,  15.0,42.1
Marshfield - Daniel Webster,01710015,      72,  18.7,        421,  50.4,  49.6,   2.1,  26.1,15.9
Marshfield - Eames Way School,01710005,      48,  20.2,        242,  37.6,  62.4,   0.0,  17.4,6.2
Marshfield - Furnace Brook Middle,01710310,     533,  18.0,        970,  46.5,  53.5,   0.8,  16.0,9.7
Marshfield - Gov Edward Winslow,01710020,      84,  19.8,        416,  48.8,  51.2,   0.0,  17.1,11.3
Marshfield - Marshfield High,01710505,     566,  18.5,"      1,334",  50.8,  49.2,   0.5,  13.1,11.2
Marshfield - Martinson Elementary,01710025,      88,  18.6,        431,  49.0,  51.0,   4.9,  17.4,11.8
Marshfield - South River,01710010,      72,  20.7,        373,  50.7,  49.3,   0.5,  18.0,10.2
Martha's Vineyard - Martha's Vineyard Regional High,07000505,     736,  11.8,        639,  48.8,  51.0,  10.2,  17.8,20.7
Martha's Vineyard Charter (District) - Martha's Vineyard Charter School,04660550,      66,  16.1,        188,  54.8,  45.2,   4.8,  26.1,33
Martin Luther King Jr. Charter School of Excellence (District) - Martin Luther King Jr. Charter School of Excellence,04920005,     142,  20.2,        358,  52.0,  48.0,  20.9,  21.2,73.5
Masconomet - Masconomet Regional High School,07050505,     578,  16.5,"      1,143",  51.7,  48.2,   0.3,  15.3,5.8
Masconomet - Masconomet Regional Middle School,07050405,     322,  20.2,        658,  50.6,  49.4,   0.6,  20.8,4.9
Mashpee - Kenneth Coombs School,01720005,     210,  18.6,        449,  45.7,  54.3,   6.0,  16.0,37.6
Mashpee - Mashpee High,01720505,     304,  12.8,        464,  48.9,  51.1,   0.4,  14.0,23.7
Mashpee - Mashpee Middle School,01720020,     160,  17.2,        280,  50.7,  49.3,   1.4,  18.6,22.1
Mashpee - Quashnet School,01720035,     342,  18.8,        504,  50.2,  49.8,   2.2,  16.7,30.8
Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District - Massachusetts Virtual Academy at Greenfield Commonwealth Virtual School,39010900,     138,  28.3,        609,  53.5,  46.5,   0.2,  23.0,51.2
Mattapoisett - Center,01730005,     118,  16.7,        244,  49.6,  50.4,   0.8,  18.0,16.4
Mattapoisett - Old Hammondtown,01730010,     111,  17.2,        204,  45.6,  54.4,   0.5,  13.7,13.7
Maynard - Fowler School,01740305,     285,  17.7,        521,  49.9,  50.1,   2.7,  18.4,16.7
Maynard - Green Meadow,01740010,     153,  19.7,        495,  46.1,  53.9,   7.3,  18.6,17
Maynard - Maynard High,01740505,     207,  16.3,        390,  53.6,  46.4,   5.4,  15.4,17.4
Medfield - Dale Street,01750005,     223,  18.6,        366,  47.5,  52.5,   2.5,  11.7,2.5
Medfield - Medfield Senior High,01750505,     445,  16.1,        831,  50.9,  49.1,   1.0,   9.4,5.4
Medfield - Memorial School,01750003,     182,  23.2,        445,  50.3,  49.7,   0.9,  13.0,6.5
Medfield - Ralph Wheelock School,01750007,     188,  25.0,        383,  46.0,  54.0,   2.6,  12.5,5.2
Medfield - Thomas Blake Middle,01750305,     565,  17.3,        625,  49.0,  51.0,   0.3,  12.3,2.7
Medford - Brooks School,01760130,     135,  18.3,        512,  48.8,  51.2,   9.6,  16.4,13.7
Medford - Christopher Columbus,01760140,     111,  17.4,        401,  46.9,  53.1,  18.5,  22.7,40.9
Medford - Curtis-Tufts,01760510,      26,   7.1,         27,  33.3,  66.7,   3.7,  96.3,51.9
Medford - John J McGlynn Elementary School,01760068,     133,  18.7,        512,  52.0,  48.0,  19.1,  18.0,39.8
Medford - John J. McGlynn Middle School,01760320,     369,  14.3,        477,  46.1,  53.9,  16.4,  20.1,36.3
Medford - Madeleine Dugger Andrews,01760315,     425,  14.7,        509,  46.8,  53.2,   0.2,  20.8,19.6
Medford - Medford High,01760505,     793,  14.5,"      1,436",  49.9,  50.1,   9.5,  18.7,27.9
Medford - Milton Fuller Roberts,01760150,     164,  16.4,        545,  47.7,  52.3,  18.3,  18.2,28.6
Medway - Burke/Memorial Elementary School,01770015,     232,  21.4,        513,  52.4,  47.6,   1.4,  19.3,10.1
Medway - John D Mc Govern Elementary,01770013,     115,  18.8,        343,  49.3,  50.7,   5.2,  18.7,9.9
Medway - Medway High,01770505,     341,  15.7,        723,  47.7,  52.3,   0.0,  10.9,9
Medway - Medway Middle,01770305,     325,  19.2,        702,  51.3,  48.7,   0.6,  18.7,9.8
Melrose - Early Childhood Center,01780003,      22,  14.8,        326,  46.9,  53.1,   0.0,  17.5,8.6
Melrose - Herbert Clark Hoover,01780017,     104,  20.5,        267,  47.6,  52.4,   3.7,  10.1,10.9
Melrose - Horace Mann,01780025,      96,  23.0,        276,  54.0,  46.0,   0.4,  12.3,2.5
Melrose - Lincoln,01780020,     160,  20.9,        418,  53.1,  46.9,  19.6,  13.9,18.7
Melrose - Melrose High,01780505,     406,  18.5,"      1,005",  53.4,  46.6,   1.7,  12.8,11.2
Melrose - Melrose Middle,01780305,     523,  19.6,        795,  50.2,  49.8,   3.3,  17.2,11.2
Melrose - Roosevelt,01780035,     160,  21.8,        435,  47.4,  52.6,   7.8,  14.7,13.1
Melrose - Winthrop,01780050,     152,  21.4,        406,  49.5,  50.5,   0.5,  11.8,5.9
Mendon-Upton - Henry P Clough,07100179,      95,  18.8,        379,  49.6,  50.4,   1.3,  17.4,7.1
Mendon-Upton - Memorial School,07100001,     107,  21.4,        477,  45.9,  54.1,   3.6,  14.5,10.1
Mendon-Upton - Miscoe Hill School,07100015,     380,  20.2,        791,  49.3,  50.7,   0.3,  16.4,8.2
Mendon-Upton - Nipmuc Regional High,07100510,     371,  14.0,        638,  54.9,  45.1,   0.3,  11.6,9.6
Methuen - Comprehensive Grammar School,01810050,     344,  19.9,"      1,120",  49.6,  50.4,  16.6,  19.0,29.8
Methuen - Donald P Timony Grammar,01810060,     388,  23.3,"      1,383",  47.3,  52.7,   9.7,  18.4,40.7
Methuen - Marsh Grammar School,01810030,     392,  20.1,"      1,205",  47.3,  52.7,   6.2,  20.8,25.9
Methuen - Methuen High,01810505,"   1,131",  17.0,"      1,987",  47.1,  52.9,   6.6,   8.1,29.9
Methuen - Tenney Grammar School,01810055,     410,  22.3,"      1,385",  46.1,  53.9,  10.8,  19.9,40.8
Middleborough - Henry B. Burkland Elementary School,01820008,     320,  19.8,        580,  47.6,  52.4,   1.0,  18.6,33.1
Middleborough - John T. Nichols Middle,01820305,     421,  25.6,        805,  50.2,  49.8,   1.0,  18.8,27.7
Middleborough - Mary K. Goode Elementary School,01820010,     278,  20.3,        583,  49.6,  50.4,   1.0,  18.5,28.3
Middleborough - Memorial Early Childhood Center,01820011,      71,  20.6,        307,  47.9,  52.1,   1.3,  22.1,30.9
Middleborough - Middleborough High,01820505,     456,  13.9,        724,  48.9,  51.1,   0.4,  15.1,21.4
Middleton - Fuller Meadow,01840003,     100,  11.8,        229,  51.5,  48.5,   1.7,  15.7,7.9
Middleton - Howe-Manning,01840005,     199,  15.8,        461,  48.6,  51.4,   0.0,  19.1,8.2
Milford - Brookside,01850065,     182,  17.8,        473,  48.6,  51.4,  29.6,  12.3,39.5
Milford - Memorial,01850010,     177,  18.3,        488,  49.2,  50.8,  31.6,  12.9,35.7
Milford - Milford High,01850505,     567,  18.5,"      1,181",  51.6,  48.4,   9.9,  13.9,26.7
Milford - Shining Star Early Childhood Center,01850075,      12,  15.5,        169,  42.6,  57.4,   8.9,  44.4,39.1
Milford - Stacy Middle,01850305,     495,  19.6,"      1,004",  47.3,  52.7,  11.1,  14.2,30.4
Milford - Woodland,01850090,     427,  18.7,        981,  46.9,  53.1,  19.9,  14.1,34.6
Millbury - Elmwood Street,01860017,     209,  19.9,        597,  47.2,  52.8,   6.5,  15.7,27.8
Millbury - Millbury Junior/Senior High,01860505,     420,  16.4,        718,  51.9,  48.1,   1.1,  15.6,20.9
Millbury - Raymond E. Shaw Elementary,01860025,     183,  21.9,        439,  51.3,  48.7,   3.4,  18.5,26.7
Millis - Clyde F Brown,01870005,     193,  18.6,        504,  51.0,  49.0,   1.8,  15.9,9.1
Millis - Millis High School,01870505,     184,  14.5,        394,  49.0,  51.0,   0.5,  10.4,10.4
Millis - Millis Middle,01870020,     235,  18.3,        412,  47.3,  52.7,   0.7,  11.9,13.1
Milton - Charles S Pierce Middle,01890410,     512,  18.2,        907,  50.3,  49.7,   0.8,  15.7,10.6
Milton - Collicot,01890005,      70,  22.3,        732,  45.5,  54.5,   1.8,  19.8,4.8
Milton - Cunningham School,01890007,      55,  22.5,        535,  49.5,  50.5,   4.3,  15.1,6
Milton - Glover,01890010,     106,  21.7,        581,  50.1,  49.9,   1.2,  12.7,4.1
Milton - Milton High,01890505,     488,  17.5,"      1,025",  50.5,  49.4,   1.5,  10.5,11
Milton - Tucker,01890020,      76,  21.5,        444,  49.1,  50.9,   4.1,   7.9,16.9
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,     557,  10.7,        534,  36.5,  63.3,   1.5,  50.2,20.4
Mohawk Trail - Buckland-Shelburne Regional,07170005,      38,  25.8,        284,  50.4,  49.6,   0.4,  22.2,34.2
Mohawk Trail - Colrain Central,07170010,      34,  13.1,        106,  52.8,  47.2,   0.0,  29.2,34.9
Mohawk Trail - Mohawk Trail Regional High,07170505,     336,  10.6,        397,  51.9,  48.1,   0.3,  24.4,35.8
Mohawk Trail - Sanderson Academy,07170020,      41,  14.5,        162,  40.7,  59.3,   0.0,  16.7,25.9
Monomoy Regional School District - Chatham Elementary School,07120001,     161,  15.7,        242,  56.6,  43.4,   7.0,  19.8,30.2
Monomoy Regional School District - Harwich Elementary School,07120002,     336,  17.4,        561,  47.1,  52.9,   4.8,  14.6,27.5
Monomoy Regional School District - Monomoy Regional High School,07120515,     472,  12.3,        628,  48.9,  51.1,   3.8,  12.7,22.9
Monomoy Regional School District - Monomoy Regional Middle School,07120315,     332,  16.8,        463,  50.3,  49.7,   4.3,  18.8,29.4
Monson - Granite Valley Middle,01910310,     202,  17.1,        286,  50.7,  49.3,   0.7,  19.6,23.8
Monson - Monson High School,01910505,     163,  12.6,        261,  51.0,  49.0,   0.0,  13.4,18.4
Monson - Quarry Hill Community School,01910025,     172,  18.9,        403,  48.4,  51.6,   1.2,  21.6,33.7
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,     799,  18.1,"      1,409",  46.8,  52.9,   0.6,  14.9,22.1
Mount Greylock - Mt Greylock Regional High,07150505,     333,  13.1,        536,  51.7,  48.3,   0.2,  13.4,13.4
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,     754,  23.8,"      1,555",  50.0,  50.0,   2.5,  13.2,17.9
Nahant - Johnson,01960010,      57,  17.6,        149,  51.7,  48.3,   0.0,   6.0,18.8
Nantucket - Cyrus Peirce,01970010,     216,  18.9,        367,  50.4,  49.6,  15.0,  15.8,21.3
Nantucket - Nantucket Elementary,01970005,     193,  18.6,        377,  46.7,  53.3,  29.4,  15.9,27.9
Nantucket - Nantucket High,01970505,     296,  15.2,        545,  47.5,  52.5,  13.0,  14.7,18.3
Nantucket - Nantucket Intermediate School,01970020,     192,  21.8,        388,  47.9,  52.1,  20.9,  11.1,20.6
Narragansett - Baldwinville Elementary,07200005,     112,  23.6,        283,  43.1,  56.9,   0.4,  19.1,28.3
Narragansett - Narragansett Middle,07200305,     147,  23.9,        468,  48.1,  51.9,   0.0,  15.2,29.1
Narragansett - Narragansett Regional High,07200505,     224,  13.0,        362,  52.5,  47.5,   0.6,  14.4,22.9
Narragansett - Phillipston Memorial,07200003,      52,  17.8,        171,  39.2,  60.8,   1.2,  28.1,35.1
Narragansett - Templeton Center,07200020,      72,  21.9,        175,  46.9,  53.1,   0.0,  18.9,26.9
Nashoba - Center School,07250020,     189,  20.1,        563,  48.3,  51.7,   2.0,  15.5,4.1
Nashoba - Florence Sawyer School,07250025,     298,  20.1,        769,  50.5,  49.5,   1.4,  14.4,5.2
Nashoba - Hale,07250310,     145,  20.5,        298,  54.7,  45.3,   2.0,  13.4,4.4
Nashoba - Luther Burbank Middle School,07250305,     137,  18.1,        244,  44.7,  55.3,   2.0,  20.9,15.2
Nashoba - Mary Rowlandson Elementary,07250010,     130,  26.0,        484,  48.6,  51.4,   4.1,  22.1,16.5
Nashoba - Nashoba Regional,07250505,     560,  14.1,        979,  50.4,  49.6,   0.5,  12.3,4.7
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,     380,  13.7,        674,  40.4,  59.3,   0.4,  36.2,17.4
Natick - Bennett-Hemenway,01980005,     115,  20.8,        594,  49.0,  51.0,   2.0,  15.5,7.4
Natick - Brown,01980010,     113,  19.0,        519,  48.7,  51.3,  15.4,  11.6,12.3
Natick - J F Kennedy Middle School,01980305,     337,  20.5,        652,  49.5,  50.5,   3.7,  13.2,6.9
Natick - Johnson,01980031,      44,  21.1,        232,  41.4,  58.6,   0.9,  12.1,14.2
Natick - Lilja Elementary,01980035,     101,  17.5,        436,  52.1,  47.9,   3.4,  10.1,11.2
Natick - Memorial,01980043,      84,  19.7,        414,  45.9,  54.1,   0.7,  10.6,5.1
Natick - Natick High,01980505,"   1,336",  17.5,"      1,750",  50.1,  49.8,   2.1,  15.0,8.5
Natick - Wilson Middle,01980310,     451,  21.7,        952,  48.9,  51.1,   0.4,  17.3,10.1
Nauset - Nauset Regional High,06600505,     541,  14.7,        940,  54.6,  45.4,   2.3,   9.9,17.6
Nauset - Nauset Regional Middle,06600305,     401,  18.4,        566,  48.6,  51.2,   1.4,  20.7,19.4
Needham - Broadmeadow,01990005,     126,  21.4,        544,  52.8,  47.2,   4.0,  13.4,2.6
Needham - High Rock School,01990410,     306,  19.1,        456,  50.9,  49.1,   1.8,  19.3,5.7
Needham - Hillside Elementary,01990035,     110,  21.2,        484,  47.5,  52.5,   7.0,  14.9,3.9
Needham - John Eliot,01990020,      97,  19.9,        399,  47.6,  52.4,   7.3,  17.5,9
Needham - Needham High,01990505,     730,  16.6,"      1,675",  49.4,  50.4,   0.5,  17.1,5.2
Needham - Newman Elementary,01990050,     163,  20.4,        765,  49.0,  51.0,   5.0,  22.1,6.9
Needham - Pollard Middle,01990405,     635,  18.2,        852,  52.8,  47.2,   1.1,  17.8,4.7
Needham - William Mitchell,01990040,     116,  21.4,        499,  50.9,  49.1,   2.8,  11.2,3
Neighborhood House Charter (District) - Neighborhood House Charter School,04440205,     156,  28.7,        568,  49.5,  50.5,   6.9,  17.4,38.2
New Bedford - Abraham Lincoln,02010095,     307,  21.3,        720,  47.8,  52.2,  18.5,  14.7,66.4
New Bedford - Alfred J Gomes,02010063,     211,  20.5,        583,  47.0,  53.0,  70.7,  22.0,75.8
New Bedford - Betsey B Winslow,02010140,     112,  22.5,        306,  51.6,  48.4,  11.4,  12.7,47.7
New Bedford - Carlos Pacheco,02010105,     145,  19.3,        348,  44.5,  55.5,  46.0,  17.5,75
New Bedford - Casimir Pulaski,02010123,     336,  17.2,        768,  42.3,  57.7,  16.3,  29.7,44.5
New Bedford - Charles S Ashley,02010010,     120,  18.5,        278,  47.8,  52.2,  13.7,  15.8,54.7
New Bedford - Elizabeth Carter Brooks,02010015,      99,  22.3,        302,  46.7,  53.3,  25.5,  13.2,65.6
New Bedford - Ellen R Hathaway,02010075,     129,  18.1,        314,  50.6,  49.4,  57.6,  20.7,71.7
New Bedford - Elwyn G Campbell,02010020,      88,  22.2,        280,  49.6,  50.4,  21.4,  26.1,53.6
New Bedford - Hayden/McFadden,02010078,     369,  17.8,        707,  48.4,  51.6,  52.2,  23.2,80.5
New Bedford - Irwin M. Jacobs Elementary School,02010070,     139,  21.3,        374,  51.1,  48.9,  49.2,  21.1,79.4
New Bedford - James B Congdon,02010040,     142,  18.8,        338,  51.8,  48.2,  43.5,  15.4,72.8
New Bedford - Jireh Swift,02010130,      80,  21.3,        213,  54.0,  46.0,  11.3,  11.7,50.7
New Bedford - John Avery Parker,02010115,      98,  19.2,        262,  46.9,  53.1,  36.3,  16.4,66.8
New Bedford - John B Devalles,02010050,     168,  18.2,        382,  51.8,  48.2,  37.2,  20.7,79.1
New Bedford - Keith Middle School,02010405,     438,  19.6,        885,  48.5,  51.5,  22.7,  22.1,64.3
New Bedford - New Bedford High,02010505,"   1,192",  15.6,"      2,064",  47.6,  52.4,  31.0,  16.4,60.5
New Bedford - Normandin Middle School,02010410,     547,  20.0,"      1,260",  48.5,  51.5,  22.1,  19.0,57.8
New Bedford - Renaissance Community School for the Arts,02010124,      82,  19.0,        218,  55.5,  44.5,  57.8,  15.1,71.1
New Bedford - Roosevelt Middle School,02010415,     392,  19.7,        815,  48.2,  51.8,  29.0,  24.9,70.4
New Bedford - Sgt Wm H Carney Academy,02010045,     364,  16.3,        816,  42.0,  58.0,  14.8,  29.0,68.4
New Bedford - Thomas R Rodman,02010125,      74,  21.8,        197,  43.1,  56.9,  23.4,  13.7,68.5
New Bedford - Trinity Day Academy,02010510,     131,   5.8,         95,  35.8,  64.2,   5.3,  96.8,86.3
New Bedford - Whaling City Junior/Senior High School,02010515,     132,   5.1,        122,  27.9,  72.1,  11.5,  32.8,82
New Bedford - William H Taylor,02010135,     100,  18.7,        272,  49.6,  50.4,  17.3,  11.0,52.9
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,     158,  22.1,        458,  50.0,  50.0,  10.3,  10.3,41.3
New Salem-Wendell - Swift River,07280015,      24,  18.7,        159,  50.3,  49.7,   0.0,  17.6,35.2
Newburyport - Edward G. Molin Elementary School,02040030,     114,  20.8,        324,  49.7,  50.3,   0.9,  22.2,9.6
Newburyport - Francis T Bresnahan Elementary,02040005,     181,  17.1,        621,  49.0,  51.0,   2.3,  21.1,9.5
Newburyport - Newburyport High,02040505,     632,  16.5,        786,  53.9,  46.1,   1.3,   9.9,9
Newburyport - Rupert A Nock Middle,02040305,     320,  21.1,        563,  46.5,  53.5,   1.2,  17.8,8.7
Newton - A E Angier,02070005,     153,  21.7,        469,  52.2,  47.8,   7.0,  18.8,3.8
Newton - Bigelow Middle,02070305,     310,  18.4,        524,  52.9,  47.1,   7.1,  19.7,10.9
Newton - Bowen,02070015,     139,  21.8,        424,  47.2,  52.8,  14.6,  14.4,6.6
Newton - C C Burr,02070020,     138,  20.3,        394,  49.7,  50.3,  10.7,  15.7,9.4
Newton - Cabot,02070025,     144,  19.5,        398,  52.5,  47.5,   6.5,  12.6,7.3
Newton - Charles E Brown Middle,02070310,     463,  18.7,        758,  47.2,  52.8,   2.8,  20.7,6.9
Newton - Countryside,02070040,     146,  20.7,        422,  50.7,  49.3,  16.6,  16.4,12.3
Newton - F A Day Middle,02070315,     527,  22.3,        993,  44.8,  55.2,   3.2,  19.9,8.1
Newton - Franklin,02070055,     151,  20.1,        432,  55.6,  44.4,   4.4,  16.9,6.9
Newton - Horace Mann,02070075,     132,  22.0,        409,  44.0,  56.0,   8.6,  11.2,9
Newton - John Ward,02070120,     116,  18.7,        307,  51.1,  48.9,   5.5,  15.0,3.3
Newton - Lincoln-Eliot,02070070,     132,  20.0,        367,  52.6,  47.1,  21.8,  21.0,20.2
Newton - Mason-Rice,02070080,     159,  23.1,        521,  48.0,  52.0,   6.3,  12.5,2.7
Newton - Memorial Spaulding,02070105,     160,  20.1,        452,  47.3,  52.7,  10.8,  19.0,6.4
Newton - Newton Early Childhood Center,02070108,      14,  19.1,        268,  33.6,  66.4,   9.3,  69.8,11.9
Newton - Newton North High,02070505,"   1,017",  16.2,"      2,173",  49.5,  50.3,   3.0,  23.1,10.3
Newton - Newton South High,02070510,     965,  14.9,"      1,898",  48.5,  51.3,   2.9,  17.4,8.9
Newton - Oak Hill Middle,02070320,     406,  17.5,        623,  50.1,  49.9,   6.9,  18.5,8.5
Newton - Peirce,02070100,     103,  18.7,        273,  49.1,  50.9,   5.1,  10.6,6.6
Newton - Underwood,02070115,     104,  19.8,        290,  53.8,  46.2,  10.0,  13.8,10
Newton - Williams,02070125,     104,  19.5,        286,  43.7,  56.3,  10.5,  16.8,7
Newton - Zervas,02070130,     139,  21.0,        411,  50.4,  49.4,  14.1,  16.8,8.8
Norfolk - Freeman-Kennedy School,02080005,     154,  22.0,        489,  45.6,  54.4,   0.8,  17.6,4.7
Norfolk - H Olive Day,02080015,      88,  19.0,        470,  45.7,  54.3,   4.0,  18.7,5.7
Norfolk County Agricultural - Norfolk County Agricultural,09150705,     462,  16.1,        550,  69.3,  30.7,   0.2,  20.0,14.2
North Adams - Brayton,02090035,     136,  13.7,        286,  49.7,  50.3,   0.7,  25.9,67.8
North Adams - Colegrove Park Elementary,02090008,     115,  20.1,        360,  48.9,  51.1,   1.9,  28.9,61.9
North Adams - Drury High,02090505,     281,  15.0,        529,  53.3,  46.7,   0.0,  21.7,51.4
North Adams - Greylock,02090015,     103,  18.0,        301,  50.2,  49.8,   2.3,  20.9,57.8
North Andover - Annie L Sargent School,02110018,     198,  21.4,        565,  49.4,  50.6,   1.1,  14.7,6.7
North Andover - Atkinson,02110001,     155,  23.0,        593,  48.2,  51.8,   6.1,  21.4,28
North Andover - Franklin,02110010,     190,  18.1,        455,  44.4,  55.6,   1.1,  18.2,8.4
North Andover - Kittredge,02110015,      98,  22.2,        289,  44.3,  55.7,   1.0,  14.9,10.4
North Andover - North Andover High,02110505,"   1,191",  19.6,"      1,503",  51.9,  48.1,   1.1,   8.9,11.3
North Andover - North Andover Middle,02110305,     708,  23.6,"      1,118",  48.7,  51.3,   1.1,  14.1,14.9
North Andover - Thomson,02110020,     130,  20.0,        341,  52.2,  47.8,   8.5,  15.2,23.5
North Attleborough - Amvet Boulevard,02120007,     131,  20.1,        383,  52.0,  48.0,   5.0,   7.3,7.8
North Attleborough - Community,02120030,     170,  12.6,        313,  42.8,  57.2,  10.5,  27.8,41.9
North Attleborough - Falls,02120010,     111,  16.9,        271,  47.2,  52.8,   2.2,  13.7,15.9
North Attleborough - Joseph W Martin Jr Elementary,02120013,     191,  23.0,        642,  50.0,  50.0,   3.1,  15.7,12.6
North Attleborough - North Attleboro High,02120505,     581,  17.7,"      1,152",  49.8,  50.1,   1.7,  13.0,13.2
North Attleborough - North Attleborough Early Learning Center,02120020,      65,  11.9,        155,  35.5,  64.5,   0.0,  40.6,21.3
North Attleborough - North Attleborough Middle,02120305,     513,  19.9,"      1,093",  48.7,  51.1,   1.6,  17.3,13.8
North Attleborough - Roosevelt Avenue,02120015,      94,  20.5,        283,  56.2,  43.8,   3.2,   9.5,12.4
North Brookfield - North Brookfield Elementary,02150015,      58,  20.9,        325,  47.7,  52.3,   0.0,  24.6,33.5
North Brookfield - North Brookfield High,02150505,     114,  13.5,        239,  49.0,  51.0,   0.0,  21.8,33.5
North Middlesex - Ashby Elementary,07350010,     111,  17.3,        185,  43.2,  56.8,   0.0,  36.2,30.8
North Middlesex - Hawthorne Brook,07350030,     316,  20.2,        499,  50.3,  49.7,   1.4,  18.6,17.2
North Middlesex - Nissitissit Middle School,07350310,     334,  18.4,        527,  48.0,  52.0,   0.2,  25.2,12.1
North Middlesex - North Middlesex Regional,07350505,     441,  17.8,        797,  54.0,  46.0,   0.4,  12.5,13.6
North Middlesex - Peter Fitzpatrick School,07350515,       1,  16.0,         16,  31.3,  68.8,   0.0, 100.0,81.3
North Middlesex - Spaulding Memorial,07350005,     207,  20.9,        430,  50.5,  49.5,   4.2,  20.7,24
North Middlesex - Squannacook Early Childhood Center,07350002,      17,  20.4,        107,  35.5,  64.5,   0.0,  48.6,22.4
North Middlesex - Varnum Brook,07350035,     255,  21.4,        546,  47.1,  52.9,   0.2,  23.3,21.4
North Reading - E Ethel Little School,02170003,     177,  17.9,        338,  46.7,  53.3,   1.2,  19.8,12.1
North Reading - J Turner Hood,02170010,     191,  17.9,        335,  47.5,  52.5,   0.9,  21.2,7.8
North Reading - L D Batchelder,02170005,     199,  24.1,        472,  48.7,  51.3,   1.5,  15.0,6.4
North Reading - North Reading High,02170505,     311,  19.9,        800,  52.1,  47.9,   0.6,  14.1,7
North Reading - North Reading Middle,02170305,     359,  15.5,        548,  51.1,  48.9,   0.5,  21.7,8.2
Northampton - Bridge Street,02100005,      81,  19.0,        302,  43.0,  57.0,   8.6,  29.1,41.4
Northampton - Jackson Street,02100020,     108,  20.3,        358,  55.9,  44.1,   6.1,  17.0,26.5
Northampton - John F Kennedy Middle School,02100410,     543,  13.6,        629,  48.0,  52.0,   4.0,  25.4,27
Northampton - Leeds,02100025,      97,  18.9,        336,  46.7,  53.3,   3.0,  24.7,25.6
Northampton - Northampton High,02100505,     384,  16.6,        869,  51.8,  48.2,   2.0,  16.1,17.6
Northampton - R. K. Finn Ryan Road,02100029,      72,  18.7,        229,  47.2,  52.8,   3.5,  22.7,30.1
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,     291,  13.7,        493,  41.8,  58.2,   1.2,  37.7,32.5
Northboro-Southboro - Algonquin Regional High,07300505,     793,  15.6,"      1,474",  51.7,  48.3,   1.6,  13.4,5.7
Northborough - Fannie E Proctor,02130015,      61,  17.0,        247,  47.8,  52.2,   5.7,  21.5,15
Northborough - Lincoln Street,02130003,      55,  19.7,        258,  53.9,  46.1,   7.4,  19.8,10.1
Northborough - Marguerite E Peaslee,02130014,      58,  19.5,        272,  44.1,  55.9,   5.9,  21.7,8.5
Northborough - Marion E Zeh,02130020,      50,  20.0,        241,  44.0,  56.0,   4.6,  19.9,5.8
Northborough - Robert E. Melican Middle School,02130305,     381,  18.1,        622,  48.1,  51.9,   2.3,  19.3,10.3
Northbridge - Northbridge Elementary,02140005,      85,  19.2,        392,  41.8,  58.2,   4.1,  24.7,32.9
Northbridge - Northbridge High,02140505,     389,  14.7,        571,  49.9,  50.1,   1.1,   9.8,23.6
Northbridge - Northbridge Middle,02140305,     395,  21.3,        742,  48.9,  51.1,   1.6,  14.7,24.3
Northbridge - W Edward Balmer,02140001,     138,  22.1,        508,  51.6,  48.4,   2.6,  13.2,31.7
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,     894,  19.2,"      1,252",  46.6,  53.4,   3.8,  21.5,33.6
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,     411,  13.7,        484,  36.6,  63.4,   0.0,  17.1,31.2
Norton - Henri A. Yelle,02180060,     173,  24.8,        397,  49.1,  50.9,   1.3,  16.1,17.9
Norton - J C Solmonese,02180015,     113,  19.9,        481,  47.8,  52.2,   0.8,  26.6,20.8
Norton - L G Nourse Elementary,02180010,      76,  20.6,        285,  48.1,  51.9,   3.2,  17.9,28.8
Norton - Norton High,02180505,     314,  19.3,        738,  47.3,  52.7,   0.3,  13.3,12.5
Norton - Norton Middle,02180305,     392,  15.4,        590,  52.9,  47.1,   1.2,  18.6,14.2
Norwell - Grace Farrar Cole,02190005,     112,  19.3,        479,  41.8,  58.2,   0.0,  15.9,4.6
Norwell - Norwell High,02190505,     310,  15.8,        699,  50.8,  49.2,   0.1,  11.6,4.1
