office,candidate,party,county,votes
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Lucas,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Lucas,18
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Lucas,1239
President/Vice President,Jill Stein / Ajamu Baraka,Green,Lucas,28
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Lucas,0
President/Vice President,Donald Trump / Mike Pence,Republican,Lucas,2877
President/Vice President,Total,NA,Lucas,4392
President/Vice President,Write-In,NA,Lucas,50
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Lucas,4
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Lucas,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Lyon,35
President/Vice President,Under Votes,NA,Lyon,47
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Lyon,137
President/Vice President,Over Votes,NA,Lyon,7
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Lyon,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Lyon,18
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Lyon,920
President/Vice President,Jill Stein / Ajamu Baraka,Green,Lyon,18
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Lyon,1
President/Vice President,Donald Trump / Mike Pence,Republican,Lyon,5192
President/Vice President,Total,NA,Lyon,6431
President/Vice President,Write-In,NA,Lyon,32
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Lyon,16
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Lyon,7
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Madison,84
President/Vice President,Under Votes,NA,Madison,67
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Madison,347
President/Vice President,Over Votes,NA,Madison,3
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Madison,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Madison,37
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Madison,2678
President/Vice President,Jill Stein / Ajamu Baraka,Green,Madison,41
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Madison,1
President/Vice President,Donald Trump / Mike Pence,Republican,Madison,5360
President/Vice President,Total,NA,Madison,8706
President/Vice President,Write-In,NA,Madison,71
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Madison,11
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Madison,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Mahaska,73
President/Vice President,Under Votes,NA,Mahaska,79
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Mahaska,318
President/Vice President,Over Votes,NA,Mahaska,12
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Mahaska,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Mahaska,35
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Mahaska,2619
President/Vice President,Jill Stein / Ajamu Baraka,Green,Mahaska,38
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Mahaska,0
President/Vice President,Donald Trump / Mike Pence,Republican,Mahaska,7432
President/Vice President,Total,NA,Mahaska,10723
President/Vice President,Write-In,NA,Mahaska,95
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Mahaska,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Mahaska,9
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Marion,204
President/Vice President,Under Votes,NA,Marion,175
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Marion,706
President/Vice President,Over Votes,NA,Marion,0
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Marion,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Marion,111
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Marion,5482
President/Vice President,Jill Stein / Ajamu Baraka,Green,Marion,73
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Marion,7
President/Vice President,Donald Trump / Mike Pence,Republican,Marion,10962
President/Vice President,Total,NA,Marion,17991
President/Vice President,Write-In,NA,Marion,223
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Marion,28
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Marion,19
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Marshall,104
President/Vice President,Under Votes,NA,Marshall,153
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Marshall,577
President/Vice President,Over Votes,NA,Marshall,42
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Marshall,7
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Marshall,77
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Marshall,7652
President/Vice President,Jill Stein / Ajamu Baraka,Green,Marshall,117
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Marshall,5
President/Vice President,Donald Trump / Mike Pence,Republican,Marshall,9146
President/Vice President,Total,NA,Marshall,18175
President/Vice President,Write-In,NA,Marshall,228
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Marshall,33
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Marshall,34
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Mills,76
President/Vice President,Under Votes,NA,Mills,63
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Mills,307
President/Vice President,Over Votes,NA,Mills,11
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Mills,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Mills,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Mills,2090
President/Vice President,Jill Stein / Ajamu Baraka,Green,Mills,56
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Mills,2
President/Vice President,Donald Trump / Mike Pence,Republican,Mills,5067
President/Vice President,Total,NA,Mills,7772
President/Vice President,Write-In,NA,Mills,59
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Mills,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Mills,8
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Mitchell,25
President/Vice President,Under Votes,NA,Mitchell,101
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Mitchell,210
President/Vice President,Over Votes,NA,Mitchell,3
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Mitchell,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Mitchell,16
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Mitchell,1888
President/Vice President,Jill Stein / Ajamu Baraka,Green,Mitchell,28
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Mitchell,1
President/Vice President,Donald Trump / Mike Pence,Republican,Mitchell,3190
President/Vice President,Total,NA,Mitchell,5521
President/Vice President,Write-In,NA,Mitchell,34
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Mitchell,14
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Mitchell,10
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Monona,12
President/Vice President,Under Votes,NA,Monona,46
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Monona,112
President/Vice President,Over Votes,NA,Monona,11
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Monona,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Monona,10
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Monona,1247
President/Vice President,Jill Stein / Ajamu Baraka,Green,Monona,22
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Monona,0
President/Vice President,Donald Trump / Mike Pence,Republican,Monona,3120
President/Vice President,Total,NA,Monona,4629
President/Vice President,Write-In,NA,Monona,39
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Monona,4
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Monona,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Monroe,15
President/Vice President,Under Votes,NA,Monroe,37
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Monroe,104
President/Vice President,Over Votes,NA,Monroe,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Monroe,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Monroe,20
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Monroe,1056
President/Vice President,Jill Stein / Ajamu Baraka,Green,Monroe,13
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Monroe,1
President/Vice President,Donald Trump / Mike Pence,Republican,Monroe,2638
President/Vice President,Total,NA,Monroe,3907
President/Vice President,Write-In,NA,Monroe,14
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Monroe,1
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Monroe,3
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Montgomery,27
President/Vice President,Under Votes,NA,Montgomery,50
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Montgomery,152
President/Vice President,Over Votes,NA,Montgomery,8
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Montgomery,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Montgomery,21
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Montgomery,1314
President/Vice President,Jill Stein / Ajamu Baraka,Green,Montgomery,38
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Montgomery,1
President/Vice President,Donald Trump / Mike Pence,Republican,Montgomery,3436
President/Vice President,Total,NA,Montgomery,5102
President/Vice President,Write-In,NA,Montgomery,39
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Montgomery,8
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Montgomery,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Muscatine,136
President/Vice President,Under Votes,NA,Muscatine,155
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Muscatine,748
President/Vice President,Over Votes,NA,Muscatine,34
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Muscatine,7
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Muscatine,87
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Muscatine,8368
President/Vice President,Jill Stein / Ajamu Baraka,Green,Muscatine,183
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Muscatine,3
President/Vice President,Donald Trump / Mike Pence,Republican,Muscatine,9584
President/Vice President,Total,NA,Muscatine,19623
President/Vice President,Write-In,NA,Muscatine,213
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Muscatine,42
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Muscatine,63
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,O'Brien,31
President/Vice President,Under Votes,NA,O'Brien,52
President/Vice President,Gary Johnson / Bill Weld,Libertarian,O'Brien,197
President/Vice President,Over Votes,NA,O'Brien,2
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,O'Brien,2
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,O'Brien,22
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,O'Brien,1315
President/Vice President,Jill Stein / Ajamu Baraka,Green,O'Brien,28
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,O'Brien,3
President/Vice President,Donald Trump / Mike Pence,Republican,O'Brien,5752
President/Vice President,Total,NA,O'Brien,7460
President/Vice President,Write-In,NA,O'Brien,36
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,O'Brien,16
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,O'Brien,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Osceola,20
President/Vice President,Under Votes,NA,Osceola,35
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Osceola,73
President/Vice President,Over Votes,NA,Osceola,3
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Osceola,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Osceola,10
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Osceola,552
President/Vice President,Jill Stein / Ajamu Baraka,Green,Osceola,10
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Osceola,0
President/Vice President,Donald Trump / Mike Pence,Republican,Osceola,2531
President/Vice President,Total,NA,Osceola,3251
President/Vice President,Write-In,NA,Osceola,13
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Osceola,3
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Osceola,0
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Page,35
President/Vice President,Under Votes,NA,Page,62
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Page,176
President/Vice President,Over Votes,NA,Page,15
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Page,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Page,30
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Page,1807
President/Vice President,Jill Stein / Ajamu Baraka,Green,Page,37
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Page,3
President/Vice President,Donald Trump / Mike Pence,Republican,Page,4893
President/Vice President,Total,NA,Page,7121
President/Vice President,Write-In,NA,Page,49
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Page,7
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Page,7
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Palo Alto,13
President/Vice President,Under Votes,NA,Palo Alto,37
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Palo Alto,131
President/Vice President,Over Votes,NA,Palo Alto,20
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Palo Alto,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Palo Alto,12
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Palo Alto,1398
President/Vice President,Jill Stein / Ajamu Baraka,Green,Palo Alto,20
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Palo Alto,0
President/Vice President,Donald Trump / Mike Pence,Republican,Palo Alto,3081
President/Vice President,Total,NA,Palo Alto,4760
President/Vice President,Write-In,NA,Palo Alto,24
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Palo Alto,14
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Palo Alto,9
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Plymouth,72
President/Vice President,Under Votes,NA,Plymouth,62
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Plymouth,343
President/Vice President,Over Votes,NA,Plymouth,22
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Plymouth,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Plymouth,33
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Plymouth,2885
President/Vice President,Jill Stein / Ajamu Baraka,Green,Plymouth,52
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Plymouth,1
President/Vice President,Donald Trump / Mike Pence,Republican,Plymouth,9680
President/Vice President,Total,NA,Plymouth,13274
President/Vice President,Write-In,NA,Plymouth,102
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Plymouth,14
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Plymouth,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Pocahontas,14
President/Vice President,Under Votes,NA,Pocahontas,51
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Pocahontas,115
President/Vice President,Over Votes,NA,Pocahontas,2
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Pocahontas,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Pocahontas,21
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Pocahontas,963
President/Vice President,Jill Stein / Ajamu Baraka,Green,Pocahontas,14
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Pocahontas,1
President/Vice President,Donald Trump / Mike Pence,Republican,Pocahontas,2702
President/Vice President,Total,NA,Pocahontas,3918
President/Vice President,Write-In,NA,Pocahontas,23
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Pocahontas,6
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Pocahontas,6
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Polk,2380
President/Vice President,Under Votes,NA,Polk,1668
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Polk,10029
President/Vice President,Over Votes,NA,Polk,162
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Polk,51
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Polk,672
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Polk,119804
President/Vice President,Jill Stein / Ajamu Baraka,Green,Polk,1737
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Polk,73
President/Vice President,Donald Trump / Mike Pence,Republican,Polk,93492
President/Vice President,Total,NA,Polk,233385
President/Vice President,Write-In,NA,Polk,2896
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Polk,221
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Polk,200
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Pottawattami,253
President/Vice President,Under Votes,NA,Pottawattami,259
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Pottawattami,1469
President/Vice President,Over Votes,NA,Pottawattami,119
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Pottawattami,6
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Pottawattami,93
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Pottawattami,15355
President/Vice President,Jill Stein / Ajamu Baraka,Green,Pottawattami,327
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Pottawattami,8
President/Vice President,Donald Trump / Mike Pence,Republican,Pottawattami,24447
President/Vice President,Total,NA,Pottawattami,43058
President/Vice President,Write-In,NA,Pottawattami,431
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Pottawattami,154
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Pottawattami,137
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Poweshiek,46
President/Vice President,Under Votes,NA,Poweshiek,67
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Poweshiek,283
President/Vice President,Over Votes,NA,Poweshiek,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Poweshiek,8
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Poweshiek,44
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Poweshiek,4304
President/Vice President,Jill Stein / Ajamu Baraka,Green,Poweshiek,73
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Poweshiek,3
President/Vice President,Donald Trump / Mike Pence,Republican,Poweshiek,4946
President/Vice President,Total,NA,Poweshiek,9916
President/Vice President,Write-In,NA,Poweshiek,95
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Poweshiek,11
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Poweshiek,20
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Ringgold,7
President/Vice President,Under Votes,NA,Ringgold,43
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Ringgold,72
President/Vice President,Over Votes,NA,Ringgold,2
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Ringgold,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Ringgold,15
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Ringgold,753
President/Vice President,Jill Stein / Ajamu Baraka,Green,Ringgold,8
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Ringgold,2
President/Vice President,Donald Trump / Mike Pence,Republican,Ringgold,1824
President/Vice President,Total,NA,Ringgold,2752
President/Vice President,Write-In,NA,Ringgold,19
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Ringgold,5
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Ringgold,2
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Sac,15
President/Vice President,Under Votes,NA,Sac,41
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Sac,129
President/Vice President,Over Votes,NA,Sac,4
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Sac,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Sac,17
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Sac,1270
President/Vice President,Jill Stein / Ajamu Baraka,Green,Sac,23
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Sac,1
President/Vice President,Donald Trump / Mike Pence,Republican,Sac,3703
President/Vice President,Total,NA,Sac,5257
President/Vice President,Write-In,NA,Sac,42
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Sac,8
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Sac,4
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Scott,647
President/Vice President,Under Votes,NA,Scott,986
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Scott,3555
President/Vice President,Over Votes,NA,Scott,80
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Scott,16
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Scott,298
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Scott,40440
President/Vice President,Jill Stein / Ajamu Baraka,Green,Scott,784
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Scott,28
President/Vice President,Donald Trump / Mike Pence,Republican,Scott,39149
President/Vice President,Total,NA,Scott,87286
President/Vice President,Write-In,NA,Scott,1119
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Scott,85
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Scott,99
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Shelby,39
President/Vice President,Under Votes,NA,Shelby,73
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Shelby,174
President/Vice President,Over Votes,NA,Shelby,5
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Shelby,1
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Shelby,21
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Shelby,1662
President/Vice President,Jill Stein / Ajamu Baraka,Green,Shelby,28
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Shelby,2
President/Vice President,Donald Trump / Mike Pence,Republican,Shelby,4362
President/Vice President,Total,NA,Shelby,6448
President/Vice President,Write-In,NA,Shelby,63
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Shelby,13
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Shelby,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Sioux,352
President/Vice President,Under Votes,NA,Sioux,120
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Sioux,435
President/Vice President,Over Votes,NA,Sioux,18
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Sioux,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Sioux,86
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Sioux,2300
President/Vice President,Jill Stein / Ajamu Baraka,Green,Sioux,53
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Sioux,4
President/Vice President,Donald Trump / Mike Pence,Republican,Sioux,14785
President/Vice President,Total,NA,Sioux,18332
President/Vice President,Write-In,NA,Sioux,165
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Sioux,9
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Sioux,5
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Story,1061
President/Vice President,Under Votes,NA,Story,290
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Story,3014
President/Vice President,Over Votes,NA,Story,17
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Story,15
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Story,126
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Story,25709
President/Vice President,Jill Stein / Ajamu Baraka,Green,Story,491
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Story,15
President/Vice President,Donald Trump / Mike Pence,Republican,Story,19458
President/Vice President,Total,NA,Story,50974
President/Vice President,Write-In,NA,Story,691
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Story,63
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Story,24
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Tama,44
President/Vice President,Under Votes,NA,Tama,105
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Tama,245
President/Vice President,Over Votes,NA,Tama,9
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Tama,3
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Tama,46
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Tama,3196
President/Vice President,Jill Stein / Ajamu Baraka,Green,Tama,79
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Tama,1
President/Vice President,Donald Trump / Mike Pence,Republican,Tama,4971
President/Vice President,Total,NA,Tama,8866
President/Vice President,Write-In,NA,Tama,110
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Tama,20
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Tama,37
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Taylor,12
President/Vice President,Under Votes,NA,Taylor,32
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Taylor,97
President/Vice President,Over Votes,NA,Taylor,4
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Taylor,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Taylor,14
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Taylor,758
President/Vice President,Jill Stein / Ajamu Baraka,Green,Taylor,10
President/Vice President,Rocky Roque De La Fuente / Michael Steinberg,Nominated by Petition,Taylor,2
President/Vice President,Donald Trump / Mike Pence,Republican,Taylor,2111
President/Vice President,Total,NA,Taylor,3065
President/Vice President,Write-In,NA,Taylor,20
President/Vice President,Lynn Kahn / Jay Stolba,New Independent,Taylor,3
President/Vice President,Dan R. Vacek / Mark G. Elworth,Legal Marijuana Now,Taylor,2
President/Vice President,Evan McMullin / Nathan Johnson,Nominated by Petition,Union,18
President/Vice President,Under Votes,NA,Union,37
President/Vice President,Gary Johnson / Bill Weld,Libertarian,Union,213
President/Vice President,Over Votes,NA,Union,16
President/Vice President,Gloria La Riva / Dennis J. Banks,Socialism and Liberation,Union,0
President/Vice President,Darrell L. Castle / Scott N. Bradley,Constitution,Union,26
President/Vice President,Hillary Clinton / Tim Kaine,Democratic,Union,1922
